id,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories,female,male,wep,activity_category
108,female,67,155,58,9,92,39.4,48,True,False,45,5
109,female,48,165,67,21,106,40.8,134,True,False,105,7
110,male,52,180,82,14,95,40.2,76,False,True,70,5
111,male,57,208,113,29,116,41.0,276,False,True,174,7
112,male,55,183,88,3,79,38.6,10,False,True,12,0
113,male,57,184,92,18,103,40.4,128,False,True,90,7
114,female,25,157,54,5,85,39.1,20,True,False,20,5
115,male,50,183,84,7,84,39.5,26,False,True,28,5
116,female,58,192,83,18,101,40.8,105,True,False,90,7
117,male,22,183,84,1,76,37.8,1,False,True,4,0
118,female,62,176,69,8,91,39.8,40,True,False,40,5
119,female,74,162,67,23,100,40.8,143,True,False,115,7
120,male,38,186,88,27,102,40.9,160,False,True,135,7
121,male,79,190,95,17,91,40.4,109,False,True,85,5
122,female,59,166,67,22,93,40.2,114,True,False,110,5
123,male,20,176,73,18,97,40.9,72,False,True,90,5
124,female,29,143,45,17,92,40.4,82,True,False,85,5
125,male,44,183,85,17,109,40.3,123,False,True,85,7
126,female,25,166,61,15,104,40.2,88,True,False,75,7
127,male,20,177,79,4,81,38.9,7,False,True,16,5
128,female,25,158,62,10,90,39.7,43,True,False,50,5
129,female,21,165,65,24,106,40.7,142,True,False,120,7
130,male,45,184,85,10,90,39.8,44,False,True,50,5
131,female,21,175,74,13,95,40.2,60,True,False,65,5
132,female,34,173,67,14,94,40.2,68,True,False,70,5
133,male,57,171,78,14,85,40.0,57,False,True,56,5
134,female,38,160,61,22,112,40.4,152,True,False,132,7
135,female,31,153,52,6,91,39.2,28,True,False,30,5
136,female,44,162,60,5,88,38.9,22,True,False,20,5
137,female,48,159,63,17,87,40.0,75,True,False,68,5
138,female,56,166,67,20,101,40.8,120,True,False,100,7
139,male,23,180,82,14,91,40.3,48,False,True,70,5
140,male,62,203,108,3,86,38.2,15,False,True,12,5
141,male,21,193,88,15,102,39.8,77,False,True,75,7
142,female,58,170,72,11,97,40.1,61,True,False,55,5
143,female,60,169,68,18,99,40.4,105,True,False,90,5
144,female,48,175,70,14,99,40.1,78,True,False,70,5
145,female,31,153,54,4,86,39.1,16,True,False,16,5
146,male,76,179,85,16,98,40.3,114,False,True,80,5
147,female,71,176,72,11,92,39.4,57,True,False,55,5
148,male,41,182,87,14,100,39.7,81,False,True,70,7
149,male,37,187,85,26,103,40.5,156,False,True,130,7
150,female,34,156,52,11,87,39.9,47,True,False,44,5
151,male,79,198,96,9,87,39.7,52,False,True,36,5
152,female,28,168,66,28,109,40.7,178,True,False,140,7
153,male,43,190,98,17,107,40.2,122,False,True,85,7
154,male,35,193,93,10,83,39.7,30,False,True,40,5
155,female,24,182,71,30,106,41.0,177,True,False,150,7
156,male,62,181,83,28,112,41.0,238,False,True,168,7
157,female,68,176,73,21,94,40.3,113,True,False,105,5
158,male,55,182,83,22,100,40.7,140,False,True,110,7
159,female,49,153,52,24,104,40.7,153,True,False,120,7
160,female,51,162,63,24,103,40.9,148,True,False,120,7
161,female,47,155,55,16,93,40.5,82,True,False,80,5
162,female,25,179,69,27,112,40.7,178,True,False,162,7
163,male,25,187,82,23,101,41.0,116,False,True,115,7
164,female,45,151,50,20,93,40.5,103,True,False,100,5
165,female,28,157,53,3,81,38.5,11,True,False,12,5
166,female,28,162,61,12,92,39.9,55,True,False,60,5
167,female,54,166,71,23,103,40.7,141,True,False,115,7
168,male,45,191,94,12,96,39.8,66,False,True,60,5
169,female,73,178,78,29,115,40.9,221,True,False,174,7
170,male,29,190,94,4,76,38.8,7,False,True,16,0
171,male,43,190,96,11,98,39.7,63,False,True,55,5
172,female,22,157,53,19,100,40.5,104,True,False,95,7
173,female,20,146,46,14,91,40.5,64,True,False,70,5
174,female,20,165,66,7,90,39.2,29,True,False,35,5
175,female,22,168,66,4,87,38.5,16,True,False,16,5
176,female,59,157,58,18,96,40.2,101,True,False,90,5
177,male,25,179,80,4,89,39.1,13,False,True,16,5
178,female,52,154,61,18,89,40.3,85,True,False,72,5
179,female,29,160,56,28,113,40.6,194,True,False,168,7
180,female,34,146,53,7,93,39.8,35,True,False,35,5
181,male,50,184,83,27,100,40.9,165,False,True,135,7
182,female,69,169,67,29,111,40.7,211,True,False,174,7
183,male,47,175,76,30,113,41.3,233,False,True,180,7
184,male,28,185,82,27,99,40.9,132,False,True,135,5
185,male,62,170,77,9,86,39.6,40,False,True,36,5
186,male,58,203,101,15,101,40.1,106,False,True,75,7
187,female,23,162,59,2,83,38.4,7,True,False,8,5
188,male,29,169,74,26,105,40.7,147,False,True,130,7
189,female,26,172,68,7,82,38.9,24,True,False,28,5
190,male,46,176,76,2,81,38.0,6,False,True,8,5
191,male,21,193,92,20,108,40.5,122,False,True,100,7
192,male,53,178,88,12,97,40.0,71,False,True,60,5
193,male,25,166,70,5,85,39.4,12,False,True,20,5
194,male,24,201,94,14,99,40.5,69,False,True,70,5
195,male,59,186,90,9,88,39.9,44,False,True,36,5
196,female,20,156,53,28,102,41.0,158,True,False,140,7
197,female,40,172,70,11,94,39.7,54,True,False,55,5
198,female,28,167,63,1,73,37.6,3,True,False,4,0
199,female,21,168,65,22,107,40.6,133,True,False,110,7
200,female,23,172,62,23,103,40.8,131,True,False,115,7
201,female,43,159,58,16,90,40.1,75,True,False,80,5
202,male,56,182,87,16,91,39.9,82,False,True,80,5
203,male,24,167,66,27,100,40.5,121,False,True,135,7
204,male,26,190,95,29,109,40.7,191,False,True,145,7
205,male,54,190,94,8,86,39.8,35,False,True,32,5
206,male,71,189,95,5,77,38.8,20,False,True,20,0
207,male,38,173,72,3,75,38.5,5,False,True,12,0
208,male,22,192,92,14,93,40.5,55,False,True,70,5
209,female,46,158,60,23,109,40.6,156,True,False,115,7
210,male,75,199,103,28,123,40.5,314,False,True,168,10
211,female,79,162,58,18,95,40.1,106,True,False,90,5
212,male,32,179,81,26,110,41.0,174,False,True,156,7
213,male,41,192,99,22,98,40.5,126,False,True,110,5
214,male,42,183,90,12,95,39.7,61,False,True,60,5
215,female,35,167,69,11,96,39.8,56,True,False,55,5
216,male,77,174,82,23,94,40.7,149,False,True,115,5
217,male,25,177,76,5,85,39.1,12,False,True,20,5
218,female,23,158,55,16,111,40.6,106,True,False,96,7
219,male,62,169,68,13,88,40.1,59,False,True,52,5
220,female,30,172,68,28,107,40.8,172,True,False,140,7
221,female,73,146,53,18,105,40.4,124,True,False,90,7
222,female,66,172,68,21,104,40.3,136,True,False,105,7
223,male,62,182,84,21,106,40.5,160,False,True,105,7
224,female,58,155,55,17,92,40.5,89,True,False,85,5
225,female,31,164,66,12,88,39.8,50,True,False,48,5
226,female,36,177,74,16,94,39.9,77,True,False,80,5
227,male,28,185,88,19,98,40.5,92,False,True,95,5
228,male,54,190,95,22,110,40.3,178,False,True,132,7
229,female,20,151,46,25,98,40.8,133,True,False,125,5
230,male,29,178,79,1,82,37.4,2,False,True,4,5
231,female,33,167,67,17,99,40.0,91,True,False,85,5
232,female,24,159,62,9,87,39.6,36,True,False,36,5
233,male,48,185,88,15,103,40.0,99,False,True,75,7
234,male,47,185,92,2,94,38.1,11,False,True,10,5
235,female,41,153,60,7,85,39.3,29,True,False,28,5
236,female,40,181,75,7,83,39.5,26,True,False,28,5
237,male,26,181,81,4,79,39.1,7,False,True,16,0
238,female,41,154,58,6,91,39.2,29,True,False,30,5
239,female,44,172,61,5,82,38.9,19,True,False,20,5
240,female,55,163,63,24,96,40.7,132,True,False,120,5
241,male,76,190,94,7,90,39.0,43,False,True,35,5
242,male,36,195,94,11,89,39.5,44,False,True,44,5
243,female,32,150,54,14,94,40.1,70,True,False,70,5
244,female,63,162,58,19,107,40.5,131,True,False,95,7
245,female,22,169,62,4,81,38.7,13,True,False,16,5
246,female,64,162,70,13,95,40.4,71,True,False,65,5
247,female,39,163,65,7,85,39.6,28,True,False,28,5
248,male,28,194,97,20,103,41.0,116,False,True,100,7
249,female,20,171,68,23,99,41.1,118,True,False,115,5
250,female,64,183,79,17,99,40.3,98,True,False,85,5
251,female,78,154,60,9,85,39.7,43,True,False,36,5
252,female,42,178,74,11,93,40.0,53,True,False,55,5
253,male,31,176,75,20,97,40.5,91,False,True,100,5
254,male,21,195,99,26,101,40.9,136,False,True,130,7
255,male,27,176,78,9,86,39.6,25,False,True,36,5
256,female,70,161,63,13,85,39.9,60,True,False,52,5
257,female,22,158,57,26,108,40.7,163,True,False,130,7
258,female,52,191,78,16,92,40.5,77,True,False,80,5
259,male,55,192,98,28,111,41.1,233,False,True,168,7
260,female,25,173,64,26,104,40.6,151,True,False,130,7
261,male,50,195,94,29,104,40.9,202,False,True,145,7
262,male,45,194,97,12,99,39.9,72,False,True,60,5
263,female,39,177,74,6,78,39.1,19,True,False,24,0
264,female,60,162,61,12,86,39.9,54,True,False,48,5
265,male,23,193,93,29,103,41.1,159,False,True,145,7
266,male,23,186,86,24,97,41.0,106,False,True,120,5
267,male,22,176,72,26,104,41.0,133,False,True,130,7
268,male,20,206,95,17,86,40.5,48,False,True,68,5
269,male,32,181,84,22,100,40.7,116,False,True,110,7
270,female,39,177,73,27,105,40.8,163,True,False,135,7
271,male,26,177,78,23,104,40.3,125,False,True,115,7
272,male,61,185,92,30,111,41.1,255,False,True,180,7
273,female,54,150,51,29,108,40.7,201,True,False,145,7
274,male,22,180,84,28,111,40.7,180,False,True,168,7
275,male,48,178,80,6,76,39.5,14,False,True,24,0
276,female,20,164,65,25,105,40.5,145,True,False,125,7
277,female,79,161,62,15,94,39.6,86,True,False,75,5
278,female,51,162,59,21,107,40.7,140,True,False,105,7
279,male,55,174,70,3,89,38.6,13,False,True,12,5
280,male,63,193,104,14,94,40.2,88,False,True,70,5
281,male,34,196,103,17,96,40.4,88,False,True,85,5
282,female,42,159,64,15,87,39.8,64,True,False,60,5
283,female,78,149,54,21,103,40.5,142,True,False,105,7
284,female,28,154,59,14,92,40.5,65,True,False,70,5
285,female,33,163,61,21,104,40.8,126,True,False,105,7
286,female,50,167,59,2,84,38.6,8,True,False,8,5
287,male,37,168,68,25,97,41.1,118,False,True,125,5
288,male,27,181,79,17,94,40.3,68,False,True,85,5
289,male,54,164,67,18,93,40.8,88,False,True,90,5
290,male,24,194,95,7,84,39.4,19,False,True,28,5
291,female,58,152,53,28,99,41.3,168,True,False,140,5
292,female,20,176,69,10,84,40.2,35,True,False,40,5
293,male,53,179,83,14,99,39.7,85,False,True,70,5
294,male,38,196,100,29,111,40.6,219,False,True,174,7
295,female,32,158,58,8,89,39.5,35,True,False,32,5
296,female,53,160,59,19,100,40.3,113,True,False,95,7
297,female,62,148,54,20,97,40.1,117,True,False,100,5
298,female,32,162,65,16,94,40.1,78,True,False,80,5
299,male,74,195,97,8,94,39.5,53,False,True,40,5
300,male,68,186,88,4,87,39.1,21,False,True,16,5
301,male,33,180,79,23,106,40.9,141,False,True,115,7
302,male,24,175,77,18,93,40.0,66,False,True,90,5
303,male,22,165,68,18,94,40.1,64,False,True,90,5
304,male,22,198,97,1,79,37.5,2,False,True,4,0
305,female,25,149,47,28,106,40.8,175,True,False,140,7
306,female,47,152,54,17,104,40.3,108,True,False,85,7
307,male,67,176,78,24,101,40.9,167,False,True,120,7
308,female,20,171,69,25,109,41.0,155,True,False,125,7
309,male,25,191,85,25,105,40.7,143,False,True,125,7
310,female,21,157,56,17,100,40.0,92,True,False,85,7
311,female,32,161,63,17,99,40.3,92,True,False,85,5
312,female,29,171,69,4,81,39.3,13,True,False,16,5
313,male,25,171,75,28,102,40.8,141,False,True,140,7
314,female,39,159,62,15,93,40.0,74,True,False,75,5
315,female,30,173,65,22,107,40.4,136,True,False,110,7
316,female,42,150,52,25,98,40.7,141,True,False,125,5
317,female,50,174,68,11,95,40.1,58,True,False,55,5
318,male,56,182,85,6,96,39.2,35,False,True,30,5
319,female,24,162,61,23,98,40.9,119,True,False,115,5
320,female,34,168,69,16,96,40.3,81,True,False,80,5
321,female,54,148,56,3,82,38.5,12,True,False,12,5
322,male,34,192,87,24,105,41.2,148,False,True,120,7
323,male,21,168,67,11,92,40.1,35,False,True,55,5
324,female,71,164,64,14,94,40.4,78,True,False,70,5
325,female,32,153,56,7,82,39.8,26,True,False,28,5
326,male,50,182,85,14,90,40.2,65,False,True,70,5
327,male,69,183,94,7,88,39.4,38,False,True,28,5
328,female,26,168,59,13,90,39.9,57,True,False,65,5
329,female,40,170,68,6,87,39.4,25,True,False,24,5
330,male,34,186,79,10,84,40.2,28,False,True,40,5
331,female,48,169,65,11,94,39.3,56,True,False,55,5
332,male,71,177,83,17,100,40.0,121,False,True,85,7
333,male,77,188,94,12,104,39.9,99,False,True,60,7
334,male,34,184,88,5,82,39.1,14,False,True,20,5
335,female,63,123,40,9,97,39.9,55,True,False,45,5
336,male,46,173,77,5,91,39.1,22,False,True,25,5
337,female,66,165,63,26,98,40.7,153,True,False,130,5
338,female,26,162,62,26,101,41.0,144,True,False,130,7
339,female,50,163,64,12,94,40.3,62,True,False,60,5
340,female,54,157,63,20,96,40.7,110,True,False,100,5
341,female,24,166,65,24,114,40.8,164,True,False,144,7
342,male,77,171,74,18,103,40.8,138,False,True,90,7
343,female,54,171,70,8,78,39.1,28,True,False,32,0
344,female,39,164,68,15,89,40.4,66,True,False,60,5
345,male,25,180,85,23,105,41.0,131,False,True,115,7
346,male,68,183,90,24,104,40.8,186,False,True,120,7
347,female,62,154,59,16,107,40.2,110,True,False,80,7
348,male,73,198,101,18,97,40.7,129,False,True,90,5
349,male,72,193,93,2,88,38.0,11,False,True,8,5
350,female,30,184,77,7,91,39.4,30,True,False,35,5
351,female,40,155,54,19,98,40.5,106,True,False,95,5
352,female,61,161,57,18,97,40.1,104,True,False,90,5
353,female,39,169,71,21,101,40.6,118,True,False,105,7
354,female,22,167,64,13,93,39.8,59,True,False,65,5
355,female,20,157,54,29,101,41.0,160,True,False,145,7
356,female,43,157,61,7,88,39.1,31,True,False,28,5
357,male,33,183,87,23,100,41.3,124,False,True,115,7
358,male,64,188,95,17,95,40.3,107,False,True,85,5
359,female,58,154,58,2,89,38.0,10,True,False,8,5
360,male,60,184,89,12,89,40.2,61,False,True,48,5
361,female,37,171,66,10,88,39.9,43,True,False,40,5
362,female,36,173,70,4,93,38.8,19,True,False,20,5
363,female,39,164,60,29,110,40.8,196,True,False,174,7
364,female,23,169,65,24,98,40.6,123,True,False,120,5
365,male,21,197,103,14,99,40.0,70,False,True,70,5
366,female,61,170,68,16,101,40.2,97,True,False,80,7
367,female,53,165,70,21,89,40.4,97,True,False,84,5
368,male,57,188,90,5,81,38.9,19,False,True,20,5
369,male,47,201,104,28,107,41.0,209,False,True,140,7
370,female,62,167,63,20,107,40.6,136,True,False,100,7
371,male,53,170,73,16,96,40.0,87,False,True,80,5
372,male,24,191,93,17,110,40.5,112,False,True,102,7
373,female,21,168,65,28,112,41.0,184,True,False,168,7
374,female,44,169,69,7,88,39.8,31,True,False,28,5
375,male,25,179,84,18,94,40.6,72,False,True,90,5
376,male,73,188,93,29,111,40.9,264,False,True,174,7
377,male,37,192,97,27,103,40.7,169,False,True,135,7
378,male,22,167,73,18,94,40.7,66,False,True,90,5
379,male,31,180,76,11,92,40.2,42,False,True,55,5
380,female,75,172,75,8,86,39.2,37,True,False,32,5
381,female,40,171,72,13,100,40.0,72,True,False,65,7
382,male,48,166,73,7,100,39.3,41,False,True,35,7
383,female,37,151,52,15,89,40.4,69,True,False,60,5
384,female,27,168,64,27,110,40.8,175,True,False,162,7
385,female,26,169,62,11,79,39.8,35,True,False,44,0
386,male,69,188,85,14,106,40.0,112,False,True,70,7
387,male,23,185,84,21,101,40.6,105,False,True,105,7
388,male,35,169,75,5,90,38.7,19,False,True,25,5
389,male,72,183,86,24,105,40.5,192,False,True,120,7
390,female,49,173,67,10,85,39.5,42,True,False,40,5
391,male,31,186,91,14,96,40.1,67,False,True,70,5
392,female,46,161,65,7,85,39.7,29,True,False,28,5
393,male,52,182,86,28,104,40.3,193,False,True,140,7
394,female,26,167,59,28,106,40.6,171,True,False,140,7
395,female,45,163,58,5,84,38.9,21,True,False,20,5
396,male,65,191,87,23,103,40.9,170,False,True,115,7
397,female,20,158,52,29,110,41.1,189,True,False,174,7
398,male,39,185,81,12,101,40.0,68,False,True,60,7
399,male,76,179,79,19,105,40.5,153,False,True,95,7
400,female,55,159,59,7,86,39.1,31,True,False,28,5
401,male,70,189,94,23,107,40.5,193,False,True,115,7
402,female,52,178,74,22,98,40.4,121,True,False,110,5
403,male,75,172,74,10,98,39.7,68,False,True,50,5
404,male,30,186,89,27,102,40.9,151,False,True,135,7
405,male,37,179,82,28,101,40.7,157,False,True,140,7
406,female,35,156,51,27,102,40.7,161,True,False,135,7
407,male,25,187,91,13,89,40.0,44,False,True,52,5
408,male,61,169,72,29,110,41.0,230,False,True,174,7
409,male,43,193,98,19,100,40.2,116,False,True,95,7
410,male,74,187,90,12,77,40.1,47,False,True,48,0
411,male,73,178,80,10,92,40.1,60,False,True,50,5
412,male,65,163,66,1,91,37.3,5,False,True,5,5
413,female,26,176,68,13,91,40.0,57,True,False,65,5
414,male,22,187,85,26,112,40.9,172,False,True,156,7
415,female,32,168,67,11,93,39.7,52,True,False,55,5
416,female,31,156,57,26,104,40.6,156,True,False,130,7
417,female,72,176,75,29,106,40.9,194,True,False,145,7
418,male,63,190,94,21,95,40.7,131,False,True,105,5
419,male,78,191,91,24,98,40.6,176,False,True,120,5
420,female,24,153,48,21,101,40.2,119,True,False,105,7
421,male,31,187,91,14,96,40.4,67,False,True,70,5
422,female,22,168,68,3,84,38.6,11,True,False,12,5
423,male,21,184,81,23,94,40.4,87,False,True,115,5
424,female,27,165,62,22,93,40.3,103,True,False,110,5
425,female,38,178,73,11,95,39.7,54,True,False,55,5
426,female,29,152,56,25,94,40.7,123,True,False,125,5
427,female,32,165,63,10,95,40.3,50,True,False,50,5
428,male,62,174,75,27,106,40.9,200,False,True,135,7
429,female,25,158,56,9,85,39.5,35,True,False,36,5
430,male,31,184,80,18,93,40.7,73,False,True,90,5
431,female,28,154,60,25,102,40.7,142,True,False,125,7
432,female,79,164,66,18,96,40.1,106,True,False,90,5
433,female,31,157,61,26,115,40.7,185,True,False,156,7
434,male,30,185,84,28,103,40.9,157,False,True,140,7
435,female,40,171,72,23,102,40.9,132,True,False,115,7
436,female,37,161,62,27,110,40.4,180,True,False,162,7
437,male,59,172,80,16,102,40.0,109,False,True,80,7
438,male,37,174,73,16,93,40.3,67,False,True,80,5
439,female,23,148,53,8,96,39.6,41,True,False,40,5
440,male,33,180,82,21,101,40.7,114,False,True,105,7
441,female,34,161,56,18,102,40.6,105,True,False,90,7
442,female,30,158,59,29,104,40.9,173,True,False,145,7
443,female,24,170,66,9,89,39.8,37,True,False,36,5
444,female,52,154,57,11,89,40.1,53,True,False,44,5
445,male,32,177,76,17,96,40.5,76,False,True,85,5
446,male,76,167,65,20,95,40.5,124,False,True,100,5
447,male,73,181,91,19,98,40.6,135,False,True,95,5
448,female,23,159,54,6,86,39.5,24,True,False,24,5
449,male,60,184,84,4,85,39.3,17,False,True,16,5
450,male,78,195,104,18,96,40.7,132,False,True,90,5
451,male,48,181,85,22,103,41.0,143,False,True,110,7
452,female,32,171,67,7,84,39.6,26,True,False,28,5
453,male,65,184,87,27,104,40.6,203,False,True,135,7
454,female,45,167,70,6,86,39.3,25,True,False,24,5
455,male,25,162,63,25,106,40.4,135,False,True,125,7
456,male,45,187,89,8,82,39.6,26,False,True,32,5
457,male,54,187,85,26,96,40.7,149,False,True,130,5
458,female,41,166,62,25,107,40.8,161,True,False,125,7
459,female,31,173,64,16,86,40.3,64,True,False,64,5
460,female,37,185,83,2,84,38.2,7,True,False,8,5
461,male,79,192,98,7,79,39.3,33,False,True,28,0
462,female,42,177,68,13,90,40.0,59,True,False,65,5
463,female,56,150,54,5,94,39.2,27,True,False,25,5
464,male,26,194,94,14,89,40.4,49,False,True,56,5
465,male,43,183,83,25,99,41.1,141,False,True,125,5
466,male,22,181,81,28,111,40.8,179,False,True,168,7
467,male,50,187,90,16,99,40.1,98,False,True,80,5
468,male,27,168,64,24,105,40.5,128,False,True,120,7
469,male,77,181,84,17,94,40.3,111,False,True,85,5
470,male,23,181,81,11,93,40.0,41,False,True,55,5
471,male,22,183,84,29,102,40.5,148,False,True,145,7
472,male,26,191,93,13,89,40.3,46,False,True,52,5
473,female,63,156,56,17,104,40.6,112,True,False,85,7
474,female,62,166,65,1,73,37.9,3,True,False,4,0
475,female,46,184,79,17,97,40.1,89,True,False,85,5
476,female,60,162,60,24,98,40.7,140,True,False,120,5
477,male,51,186,88,3,81,38.6,10,False,True,12,5
478,female,21,171,66,16,97,40.2,79,True,False,80,5
479,male,51,181,84,3,75,38.5,7,False,True,12,0
480,female,23,172,64,28,117,40.8,200,True,False,168,7
481,male,21,188,89,4,80,38.6,7,False,True,16,5
482,female,40,172,74,16,96,40.5,81,True,False,80,5
483,female,42,170,70,25,111,40.5,169,True,False,150,7
484,male,51,181,82,10,95,39.5,54,False,True,50,5
485,male,58,184,84,16,97,40.3,97,False,True,80,5
486,female,74,162,69,8,97,39.7,47,True,False,40,5
487,male,20,192,92,10,85,39.8,26,False,True,40,5
488,male,40,180,80,28,108,40.9,190,False,True,140,7
489,female,24,169,59,21,109,40.6,134,True,False,105,7
490,female,56,156,55,2,76,38.8,7,True,False,8,0
491,female,40,164,57,27,108,40.6,178,True,False,135,7
492,female,31,180,75,27,104,40.9,155,True,False,135,7
493,female,24,158,56,26,100,40.9,142,True,False,130,7
494,female,29,165,58,12,90,39.8,54,True,False,60,5
495,female,79,170,75,8,87,39.4,38,True,False,32,5
496,female,50,170,68,3,84,38.4,12,True,False,12,5
